Accession,ExhibitType,URL,Method,Subsidiary,Jurisdiction,NestingLevel,ParentName,ParentId,Ownership,Footnotes,IsNested
000143774925005844,EX-21,"https://www.sec.gov/Archives/edgar/data/1042729/000143774925005844/ex/719876.htm",Failed,"FAILED","","0","","","","","false"
000113031025000040,EX-21,"https://www.sec.gov/Archives/edgar/data/1042773/000113031025000040/cnp/exhibit211x12312024.htm",Failed,"FAILED","","0","","","","","false"
000095017025031003,EX-21,"https://www.sec.gov/Archives/edgar/data/1042893/000095017025031003/invx-ex21/1.htm",Failed,"FAILED","","0","","","","","false"
000162828025005451,EX-21,"https://www.sec.gov/Archives/edgar/data/1043219/000162828025005451/a202410-knlyexhibit211.htm",Failed,"FAILED","","0","","","","","false"
000104327725000012,EX-21,"https://www.sec.gov/Archives/edgar/data/1043277/000104327725000012/exhibit212024.htm",Failed,"FAILED","","0","","","","","false"
000104350925000003,EX-21,"https://www.sec.gov/Archives/edgar/data/1043509/000104350925000003/exhibit211123124subsidiari.htm",Failed,"FAILED","","0","","","","","false"
000104625725000018,EX-21,"https://www.sec.gov/Archives/edgar/data/1046257/000104625725000018/ingr-20241231xex211.htm",Failed,"FAILED","","0","","","","","false"
000104786225000011,EX-21,"https://www.sec.gov/Archives/edgar/data/1047862/000104786225000011/exhibit211-202410xk.htm",Failed,"FAILED","","0","","","","","false"
000104952125000024,EX-21,"https://www.sec.gov/Archives/edgar/data/1049521/000104952125000024/exhibit211.htm",Failed,"FAILED","","0","","","","","false"
000155837025001382,EX-21,"https://www.sec.gov/Archives/edgar/data/1050377/000155837025001382/cnxn-20241231xex21d1.htm",Failed,"FAILED","","0","","","","","false"
000095017025021814,EX-21,"https://www.sec.gov/Archives/edgar/data/1050446/000095017025021814/mstr-ex21/1.htm",Failed,"FAILED","","0","","","","","false"
000105082525000069,EX-21,"https://www.sec.gov/Archives/edgar/data/1050825/000105082525000069/scs-02282025xex211.htm",Failed,"FAILED","","0","","","","","false"
000095017025029511,EX-21,"https://www.sec.gov/Archives/edgar/data/105319/000095017025029511/ww-ex21/1.htm",Failed,"FAILED","","0","","","","","false"
000105350725000025,EX-21,"https://www.sec.gov/Archives/edgar/data/1053507/000105350725000025/exhibit21fy2024.htm",Failed,"FAILED","","0","","","","","false"
000010541825000014,EX-21,"https://www.sec.gov/Archives/edgar/data/105418/000010541825000014/wmk-20241228xex21.htm",Failed,"FAILED","","0","","","","","false"
000095017025022803,EX-21,"https://www.sec.gov/Archives/edgar/data/1054905/000095017025022803/iosp-ex21/1.htm",Failed,"FAILED","","0","","","","","false"
000105628825000004,EX-21,"https://www.sec.gov/Archives/edgar/data/1056288/000105628825000004/exhibit2101subsidiariesoff.htm",Failed,"FAILED","","0","","","","","false"
000105635825000018,EX-21,"https://www.sec.gov/Archives/edgar/data/1056358/000105635825000018/mtex10-kexh212024.htm",Failed,"FAILED","","0","","","","","false"
