Accession,ExhibitType,URL,Method,Subsidiary,Jurisdiction,NestingLevel,ParentName,Ownership,Footnotes,IsNested
,,,,"PT. NetApp Indonesia","Indonesia",0,,,"",false
,,,,"Network Appliance Limited","Ireland",0,,,"Sales",false
,,,,"NetApp Ireland Limited","Ireland",0,,,"",false
,,,,"Cognigo Research Ltd","Israel",0,,,"",false
,,,,"NetApp Israel R&D Ltd.","Israel",0,,,"",false
,,,,"NetApp Israel Sales Limited","Israel",0,,,"",false
,,,,"Plexistor Ltd.","Israel",0,,,"",false
,,,,"Spotinst Ltd.","Israel",0,,,"",false
,,,,"NetApp Italia S.r.l.","Italy",0,,,"",false
,,,,"NetApp G.K.","Japan",0,,,"",false
,,,,"NetApp Korea Limited","Korea",0,,,"",false
,,,,"NetApp Luxembourg S.a.r.l.","Luxembourg",0,,,"",false
,,,,"NetApp Malaysia Sdn. Bhd.","Malaysia",0,,,"",false
,,,,"NetApp Mexico S. de R.L. de C.V.","Mexico",0,,,"",false
,,,,"NetApp New Zealand Limited","New Zealand",0,,,"",false
,,,,"NetApp Nigeria Limited","Nigeria",0,,,"",false
,,,,"NetApp Norway AS","Norway",0,,,"",false
000100263825000053,EX-21,"https://www.sec.gov/Archives/edgar/data/1002638/000100263825000053/q4-2510xkexhibit211.htm",Nested,"Attachmate Group Australia Pty Ltd","Australia",0,,,"",false
,,,,"Micro Focus Australia Pty Ltd","Australia",0,,,"",false
,,,,"Open Text Pty Limited","Australia",0,,,"",false
,,,,"Micro Focus Austria GmbH","Austria",0,,,"",false
,,,,"Open Text Software Austria GmbH","Austria",0,,,"",false
,,,,"Open Text Investments SRL","Barbados",0,,,"Barbados",false
,,,,"Micro Focus Belgium BV","Belgium",0,,,"",false
,,,,"Micro Focus Brasil Serviços de Tecnologia Ltda","Brazil",0,,,"",false
,,,,"Open Text Tecnologia Da Informação Ltda.","Brazil",0,,,"Brasil",false
,,,,"Open Text Bulgaria EOOD","Bulgaria",0,,,"",false
,,,,"8493642 Canada Inc.","Canada",0,,,"",false
,,,,"Micro Focus Software ULC","Canada",0,,,"Canada",false
,,,,"Open Text Canada Ltd.","Canada",0,,,"",false
,,,,"Micro Focus Marigalante Ltd.","Cayman Islands",0,,,"",false
,,,,"Covisint Software Services Co., Ltd.","China",0,,,"Shanghai",false
,,,,"GXS Software Development Limited","China",0,,,"Shanghai",false
,,,,"Open Text Software Technology Co., Ltd","China",0,,,"Shanghai",false
,,,,"Shanghai Micro Focus Software Technology Co., Ltd","China",0,,,"",false
,,,,"Micro Focus Centroamerica CAC Limitada","Costa Rica",0,,,"",false
,,,,"Micro Focus Costa Rica Limitada","Costa Rica",0,,,"",false
,,,,"Micro Focus Czechia s.r.o.","Czech Republic",0,,,"",false
,,,,"Open Text s.r.o.","Czech Republic",0,,,"",false
,,,,"Carbonite China Holdings, LLC","Delaware, United States",0,,,"",false
,,,,"Carbonite, LLC","Delaware, United States",0,,,"",false
,,,,"Entco, LLC","Delaware, United States",0,,,"",false
,,,,"Full 360 Group Inc.","Delaware, United States",0,,,"",false
,,,,"GXS International, Inc.","Delaware, United States",0,,,"",false
,,,,"GXS, LLC","Delaware, United States",0,,,"",false
,,,,"Micro Focus Group, Inc.","Delaware, United States",0,,,"US",false
,,,,"Micro Focus International Holdings, Inc.","Delaware, United States",0,,,"US",false
,,,,"Micro Focus , Inc.","Delaware, United States",0,,,"US",false
,,,,"Micro Focus Brazil Holdings LLC","Delaware, United States",0,,,"",false
,,,,"Micro Focus Government Solutions LLC","Delaware, United States",0,,,"",false
,,,,"Micro Focus LLC","Delaware, United States",0,,,"",false
,,,,"Micro Focus Software Inc.","Delaware, United States",0,,,"",false
,,,,"NetIQ Corporation","Delaware, United States",0,,,"",false
,,,,"Novell Holdings, Inc.","Delaware, United States",0,,,"",false
,,,,"Open Text Inc.","Delaware, United States",0,,,"",false
,,,,"Open Text US Acquisition Holdings, LLC","Delaware, United States",0,,,"",false
,,,,"Open Text US Investments Holdings, LLC","Delaware, United States",0,,,"",false
,,,,"Seattle SpinCo, Inc.","Delaware, United States",0,,,"",false
,,,,"Serena Software, Inc.","Delaware, United States",0,,,"",false
,,,,"Stratify, Inc.","Delaware, United States",0,,,"",false
,,,,"Total Defense, LLC","Delaware, United States",0,,,"",false
,,,,"Vertica Systems, LLC","Delaware, United States",0,,,"",false
,,,,"Vignette Partnership, LP","Delaware, United States",0,,,"",false
000100307825000123,EX-21,"https://www.sec.gov/Archives/edgar/data/1003078/000100307825000123/fy25exhibit211.htm",Nested,"Sid Tool Co., Inc.","New York",1,,,"",true
,,,,"MSC Services Corp.","New York",0,,,"",false
,,,,"J&L America, Inc.","Michigan",1,"MSC Services Corp.",,"",true
,,,,"MSC Acquisition Corp VI","New York",0,,,"",false
,,,,"MSC AR Holding Co., LLC","Delaware",0,,,"",false
,,,,"MSC Contract Management, Inc.","New York",1,"MSC AR Holding Co., LLC",,"",true
,,,,"MSC Foreign Properties Corporation","Delaware",0,,,"",false
,,,,"American Specialty Grinding Co., Inc.","Massachusetts",1,"MSC Foreign Properties Corporation",,"",true
,,,,"Mission Real Estate Acquisition Company","Delaware",0,,,"",false
,,,,"MSC Industrial Supply ULC","Canada",0,,,"",false
,,,,"MSC Acquisition Subsidiary LLC","Delaware",0,,,"",false
,,,,"MSC Import Export LLC","Delaware",0,,,"",false
,,,,"MSC Industrial Supply S.de.R.L. de C.V.","Mexico",0,,,"",false
,,,,"MSC Industrial Supply License Holder 1","Mexico",0,,,"",false
,,,,"All Integrated Solutions, Inc.","Delaware",0,,,"",false
,,,,"AIS Mexico LLC","Delaware",0,,,"",false
,,,,"AIS AllIntegratedSolutions de Mexico, S. de R.L. de C.V.","Mexico",0,,,"",false
,,,,"Wm. F. Hurst Co., LLC","Kansas",0,,,"",false
,,,,"EngmanTaylor, an MSC Company, LLC","Delaware",0,,,"",false
,,,,"Tower Fasteners, LLC","Delaware",0,,,"",false
,,,,"Towerfast de Mexico, S de R.L. de C.V.","Mexico",1,"Tower Fasteners, LLC",,"",true
,,,,"Tower Fasteners de Mexico, S de R.L. de C.V.","Mexico",0,,,"",false
,,,,"Tower Fasteners EU Limited","Ireland",0,,,"",false
,,,,"Tower Mexico NY, LLC","New York",0,,,"",false
,,,,"Buckeye Industrial Supply Company LLC, an MSC Company","Delaware",0,,,"",false
,,,,"TruEdge Grinding LLC, an MSC Company","Delaware",0,,,"",false
,,,,"MSC Shared Services S. de. R.L. de C.V.","Mexico",0,,,"",false
,,,,"ApTex, an MSC Company","Wisconsin",0,,,"",false
,,,,"Premier Tool Grinding, LLC, an MSC Company","Delaware",0,,,"",false
,,,,"KAR Industrial, an MSC Company Inc.","Canada",0,,,"",false
000095017025047742,EX-21,"https://www.sec.gov/Archives/edgar/data/1004724/000095017025047742/rhe-ex21/1.htm",Nested,"2014 HUD Master Tenant, LLC","",0,,,"",false
,,,,"AdCare Acquisition, Inc.","",0,,,"",false
,,,,"AdCare Management, Inc.","",0,,,"",false
,,,,"ADK Administrative Property, LLC","",0,,,"",false
,,,,"ADK Bonterra/Parkview, LLC","",0,,,"",false
,,,,"ADK Georgia, LLC","",0,,,"",false
,,,,"ADK Powder Springs Operator, LLC","",0,,,"",false
,,,,"APH&R Nursing, LLC","",0,,,"",false
,,,,"APH&R Property Holdings, LLC","",0,,,"",false
,,,,"AdCare Administrative Services, LLC","",0,,,"",false
,,,,"AdCare Consulting, LLC","",0,,,"",false
,,,,"AdCare Employee Leasing, LLC","",0,,,"",false
,,,,"AdCare Financial Management, LLC","",0,,,"",false
,,,,"AdCare Oklahoma Management, LLC","",0,,,"",false
,,,,"AdCare Operations, LLC","",0,,,"",false
,,,,"AdCare Property Holdings, LLC","",0,,,"",false
,,,,"Attalla Nursing ADK, LLC","",0,,,"",false
,,,,"Benton Nursing, LLC","",0,,,"",false
,,,,"CP Property Holdings, LLC","",0,,,"",false
,,,,"CSCC Nursing, LLC","",0,,,"",false
,,,,"Coosa Nursing ADK, LLC","",0,,,"",false
,,,,"Eaglewood Property Holdings, LLC","",0,,,"",false
,,,,"Erin Nursing, LLC","",0,,,"",false
,,,,"Erin Property Holdings, LLC","",0,,,"",false
,,,,"Georgetown HC&R Nursing, LLC","",0,,,"",false
,,,,"Georgetown HC&R Property Holdings, LLC","",0,,,"",false
,,,,"Glenvue H&R Property Holdings, LLC","",0,,,"",false
,,,,"Glenvue Operations, LLC","",0,,,"",false
,,,,"Hearth & Care of Greenfield, LLC","",0,,,"",false
,,,,"Hearth & Home of Ohio, Inc.","",0,,,"",false
,,,,"Homestead Nursing, LLC","",0,,,"",false
,,,,"KB HUD Master Tenant 2014, LLC","",0,,,"",false
,,,,"Little Rock HC&R Nursing, LLC","",0,,,"",false
,,,,"Little Rock HC&R Property Holdings, LLC","",0,,,"",false
,,,,"Mountain Trace Nursing ADK, LLC","",0,,,"",false
,,,,"Mountain View Nursing, LLC","",0,,,"",false
,,,,"Mt. Kenn Property Holdings, LLC","",0,,,"",false
,,,,"NW 61st Nursing, LLC","",0,,,"",false
,,,,"Northridge HC&R Nursing, LLC","",0,,,"",false
,,,,"Northridge HC&R Property Holdings, LLC","",0,,,"",false
,,,,"Northwest Property Holdings, LLC","",0,,,"",false
,,,,"Park Heritage Nursing, LLC","",0,,,"",false
,,,,"QC Nursing, LLC","",0,,,"",false
,,,,"QC Property Holdings, LLC","",0,,,"",false
000162828025058738,EX-21,"https://www.sec.gov/Archives/edgar/data/10048/000162828025058738/exhibitno2193025.htm",Nested,"Barnwell of Canada, Limited","Delaware",0,,,"",false
,,,,"Barnwell Hawaiian Properties, Inc.","Delaware",0,,,"",false
,,,,"Barnwell Investments LLC","Delaware",0,,,"",false
,,,,"Barnwell Texas, LLC","Delaware",0,,,"",false
,,,,"Barnwell Kona Corporation","Hawaii",0,,,"",false
,,,,"Kaupulehu Developments","Hawaii",0,,,"",false
,,,,"KD Kona 2013 LLLP","Hawaii",0,,,"",false
,,,,"BOK Drilling, LLC","Hawaii",0,,,"",false
,,,,"Octavian Oil, Ltd.","Alberta, Canada",0,,,"",false
000010049325000095,EX-21,"https://www.sec.gov/Archives/edgar/data/100493/000010049325000095/tsn2025q410-kexx21.htm",Nested,"Advance Food Company, LLC","Oklahoma",0,,,"",false
,,,,"AdvancePierre Foods Holdings, Inc.","Delaware",0,,,"",false
,,,,"AdvancePierre Foods, Inc.","Delaware",0,,,"",false
,,,,"Aidells Sausage Company, Inc.","Delaware",0,,,"",false
,,,,"Allied Specialty Foods, Inc.","Pennsylvania",0,,,"",false
,,,,"Artisan Bread Co., LLC","North Carolina",0,,,"",false
,,,,"Barber Foods, LLC","Maine",0,,,"",false
,,,,"Bryan Foods, Inc.","Delaware",0,,,"",false
,,,,"C.V. Holdings, Inc.","Philippines",0,,,"",false
,,,,"CBFA Management Corp.","Delaware",0,,,"",false
,,,,"Central Industries, Inc.","Mississippi",0,,,"",false
,,,,"Cobb Breeding Co., Ltd.","China",0,,,"Hubei",false
,,,,"Cobb Enterprise Management Consulting Co., Ltd.","China",0,,,"Shanghai",false
,,,,"Cobb Ana Damizlik Tavukculuk Sanayi Ve Ticaret Limited Sirketi","Turkey",0,,,"Cobb Turkey",false
,,,,"Cobb Colombia S.A.S.","Colombia",0,,,"",false
,,,,"Cobb Europe B.V.","Netherlands",0,,,"",false
,,,,"Cobb Europe Limited","United Kingdom",0,,,"",false
,,,,"Cobb Peru S.A.C.","Peru",0,,,"Andina",false
,,,,"Cobb Worldwide Holding Company","Delaware",0,,,"",false
,,,,"CobbHeritage, LLC","Delaware",0,,,"",false
,,,,"CobbVantress Brasil, Ltda","Brazil",0,,,"",false
,,,,"CobbVantress New Zealand Limited","New Zealand",0,,,"",false
,,,,"CobbVantress Philippines, Inc.","Philippines",0,,,"",false
,,,,"CobbVantress, Inc.","Delaware",0,,,"",false
,,,,"CobbVantress, LLC","Delaware",0,,,"",false
,,,,"DFG Foods, Inc.","Delaware",0,,,"",false
,,,,"Egbert LLC","Delaware",0,,,"",false
,,,,"Flavor Holdings, Inc.","Delaware",0,,,"",false
,,,,"Flavor One Corp.","Delaware",0,,,"",false
,,,,"Foodbrands America, Inc.","Delaware",0,,,"",false
,,,,"Foodbrands Supply Chain Services, Inc.","Delaware",0,,,"",false
,,,,"Gallo Salame, Inc.","California",0,,,"",false
,,,,"Global Employment Services, Inc.","Delaware",0,,,"",false
,,,,"Golden Quality Foods Industry Limited","United Kingdom",0,,,"England",false
,,,,"Golden Quality Foods Industry Limited","United Kingdom",0,,,"UK",false
,,,,"Hillshire Grain Services, LLC","Delaware",0,,,"",false
,,,,"Hudson Midwest Foods, Inc.","Nebraska",0,,,"",false
,,,,"IBP Caribbean, Inc.","Cayman Islands",0,,,"",false
,,,,"Invicta Foods Limited","United Kingdom",0,,,"",false
,,,,"Jiangsu Tyson Foods Co., Ltd","China",0,,,"",false
,,,,"Keystone CLJV Holdings Limited","Hong Kong",0,,,"",false
,,,,"Keystone Foods Limited","Hong Kong",0,,,"AP",false
,,,,"Keystone Foods LLC","Delaware",0,,,"",false
,,,,"Keystone Management, Inc.","Delaware",0,,,"",false
,,,,"Keystone Trading Company Limited","China",0,,,"Shanghai",false
,,,,"Madison Foods, Inc.","Delaware",0,,,"",false
,,,,"McKey Food Services Limited","Hong Kong",0,,,"Hong Kong",false
,,,,"McKey Food Services Limited","China",0,,,"Shandong",false
,,,,"McKey Food Services Limited","Thailand",0,,,"Thailand",false
,,,,"McKey Food Services Limited","China",0,,,"",false
,,,,"McKey Luxembourg S.à r.l.","Luxembourg",0,,,"",false
,,,,"McKey Luxembourg Holdings APMEA S.à r.l.","Luxembourg",0,,,"",false
000100498025000010,EX-21,"https://www.sec.gov/Archives/edgar/data/1004980/000100498025000010/exhibit21-12312024.htm",Nested,"PG&E Corporation","",0,,,"",false
,,,,"Pacific Gas and Electric Company","",0,,,"",false
000143774925017409,EX-21,"https://www.sec.gov/Archives/edgar/data/1004989/000143774925017409/ex/751599.htm",Nested,"SPAR Acquisition, Inc.","",0,,,"",false
,,,,"SPAR Assembly & Installation, Inc.","",0,,,"f/k/a SPAR National Assembly Services, Inc.",false
,,,,"SPAR Canada Company","",0,,,"",false
,,,,"SPAR Canada, Inc.","",0,,,"",false
,,,,"SPAR Group International, Inc.","",0,,,"",false
,,,,"SPAR, Inc.","",0,,,"",false
,,,,"SPAR International Ltd.","",0,,,"",false
,,,,"SPAR Marketing Force, Inc.","",0,,,"",false
,,,,"SPAR Trademarks, Inc.","",0,,,"",false
,,,,"SPAR China Ltd.","",0,,,"",false
,,,,"SPAR NMS Holdings, Inc.","",0,,,"inactive",false
,,,,"NMS Retail Services, ULC","",0,,,"inactive",false
,,,,"Resource Plus of North Florida, Inc.","",0,,,"RPI"",false
,,,,"BDA Resources, LLC1","",0,,,"",false
,,,,"Leasex, LLC.","",0,,,"Operated by and with RPI",false
,,,,"Mobex of North Florida, Inc.","",1,"Leasex, LLC.",,"Operated by and with RPI",true
,,,,"SPAR Merchandising Romania, Ltd.","",0,,,"inactive and dissolved effective March 2025",false
000149315225014286,EX-21,"https://www.sec.gov/Archives/edgar/data/1005101/000149315225014286/ex21-1.htm",Nested,"USCF Investments, Inc.","",0,,,"",false
,,,,"United States Commodity Funds, LLC","",0,,,"",false
,,,,"USCF Advisers, LLC","",0,,,"",false
,,,,"Kahnalytics, Inc., d/b/a Original Sprout","",0,,,"",false
,,,,"Marygold & Co.","",0,,,"",false
,,,,"Marygold & Co. Advisory Services, LLC","",0,,,"",false
,,,,"Gourmet Foods, Ltd.","",0,,,"",false
,,,,"Printstock Products, Limited","",0,,,"",false
,,,,"Brigadier Security Systems Ltd.","",0,,,"2000",false
,,,,"Marygold & Co. Limited","",0,,,"UK",false
,,,,"Marygold & Co. Limited f/k/a Tiger Financial & Asset Management Limited","",0,,,"",false
,,,,"StepByStep Financial Planners Limited","",0,,,"",false
000010051725000046,EX-21,"https://www.sec.gov/Archives/edgar/data/100517/000010051725000046/ual/12312410kex21.htm",Nested,"United Airlines Holdings, Inc.","Delaware",0,,,"",false
,,,,"Whollyowned subsidiaries:","",0,,,"",false
,,,,"United Airlines, Inc.","Delaware",0,,,"",false
000100528625000108,EX-21,"https://www.sec.gov/Archives/edgar/data/1005286/000100528625000108/lfcr-20250525xexx211subsid.htm",Nested,"Lifecore Biomedical Operating Company, Inc.","",0,,,"",false
,,,,"Lifecore Biomedical, LLC","",0,,,"",false
,,,,"Curation Foods, Inc.","",0,,,"",false
,,,,"Greenline Logistics, Inc.","",0,,,"",false
,,,,"Camden Fruit Corp","",0,,,"",false
000149315225016071,EX-21,"https://www.sec.gov/Archives/edgar/data/1005731/000149315225016071/ex21-01.htm",Nested,"IDT Corporation de Argentina S.A.","",0,,,"",false
,,,,"IDT Telecom Canada Corp.","",0,,,"",false
,,,,"Versature Communications Corp.","",0,,,"",false
,,,,"IDT Guatemala S.A.","",0,,,"",false
,,,,"IDT Financial Services Limited","",0,,,"",false
,,,,"IDT Telecom Asia Pacific Limited","",0,,,"",false
,,,,"Elmion Netherlands B.V.","",0,,,"",false
,,,,"IDT Dutch Holdings B.V.","",0,,,"",false
,,,,"IDT Global Limited","",0,,,"",false
,,,,"IDT Retail Europe Limited","",0,,,"",false
000095017025023962,EX-21,"https://www.sec.gov/Archives/edgar/data/1005757/000095017025023962/csgs-ex21/01.htm",Nested,"Ascade AB","Sweden",0,,,"",false
